"FIPS","tract","county","add","rural","appalachia","Owner Occupied","Renter Occupied","pct.occ","z.occ","30% or More of Income on Rent","Under 30% of Income on Rent","pct.rent","z.rent","No Vehicle Available","Vehicle Available","pct.car","z.car","Not Overcrowded","Overcrowded","pct.crowd","z.crowd","ind.ht","9th Grade or Higher","Less than 9th Grade","pct.edu","z.edu","Limited English","Not Limited English","pct.eng","z.eng","Not Single Parent Household","Single Parent Household","pct.sing","z.sing","POP2010","LAPOP05_10","PovertyRate","LILATracts_halfAnd10","LILATracts_Vehicle","pct.food","z.food","ind.econ","estimate","z.inc","At or Above Poverty Level","Below Poverty Level","pct.pov","z.pov","Employed","Unemployed","pct.unemp","z.unemp","Insured","Uninsured","pct.unins","z.unins","ind.sn","index","index2"
21031930100,"Census Tract 9301","Butler County","Barren River",0,0,1098,158,0.125796178343949,-1.0600927642118,47,37,0.55952380952381,0.775360233725231,96,1160,0.0764331210191083,-0.0283627761273593,1248,8,0.00636942675159236,-0.685792116565257,-0.249721855794796,2063,147,0.0665158371040724,0.130891941831011,0,1256,0,-0.47303134062037,1066,190,0.151273885350318,-0.287912022579878,3231,486.5624644,23.3,0,0,0.15059191098731,-0.55825794536747,-0.297077341684177,40491,0.473291516180537,2766,317,0.102821926694778,-0.703893147850957,1271,56,0.0422004521477016,-0.40112933281137,2904,179,0.058060330846578,-0.0343554428888527,-0.166521601842661,-0.237773599773878,1.23810932906915
21031930200,"Census Tract 9302","Butler County","Barren River",0,0,461,158,0.255250403877221,-0.385749351950134,84,43,0.661417322834646,1.41045497621366,33,586,0.0533117932148627,-0.331553065270402,603,16,0.0258481421647819,0.259952030587164,0.238276147395072,1085,106,0.0890008396305626,0.602376208287416,0,619,0,-0.47303134062037,513,106,0.17124394184168,-0.0366191974748198,1564,392.2371471,32.7,0,0,0.250791014769821,-0.301507830376922,-0.0521955400461738,42563,0.385135202033047,1444,319,0.180941576857629,-0.0739467287112735,684,33,0.0460251046025105,-0.327866196541214,1685,78,0.0442427680090754,-0.383538000313536,-0.100053930883244,0.0286755588218846,1.50455848766491
21031930300,"Census Tract 9303","Butler County","Barren River",0,0,1072,837,0.438449449973808,0.568557619173822,280,472,0.372340425531915,-0.391339973105328,144,1765,0.0754321634363541,-0.0414883466613936,1838,71,0.037192247249869,0.810738915724288,0.236617053782847,3052,404,0.116898148148148,1.18735021605218,77,1832,0.0403352540597171,1.10534006591948,1446,463,0.242535358826611,0.860474988895427,4749,0,34.6,0,1,0,-0.944134555068114,0.552257678949745,36266,0.653050409652134,3351,1250,0.271680069550098,0.65775635022718,1878,133,0.0661362506215813,0.0573728934816262,4199,448,0.0964062836238433,0.93468215188222,0.57571545131079,0.454863394681127,1.93074632352415
21031930400,"Census Tract 9304","Butler County","Barren River",0,0,565,119,0.173976608187135,-0.809114819452963,25,43,0.367647058823529,-0.420593381140958,31,653,0.0453216374269006,-0.436328087888495,649,35,0.0511695906432749,1.48937661983604,-0.0441649171615948,1079,174,0.138866719872306,1.64800553117865,0,684,0,-0.47303134062037,596,88,0.128654970760234,-0.572536703066438,1749,149.573109,13.6,0,0,0.0855192161234991,-0.725000174173158,-0.0306406716703297,43750,0.334632525926353,1441,463,0.243172268907563,0.427873255578445,798,78,0.089041095890411,0.496126693991576,1725,179,0.0940126050420168,0.874191686328748,0.533206040456281,0.152800150541452,1.62868307938448
21031930500,"Census Tract 9305","Butler County","Barren River",0,0,376,114,0.23265306122449,-0.503461764115255,3,65,0.0441176470588235,-2.43712830839709,6,484,0.0122448979591837,-0.870063826944308,490,0,0,-0.99504495707627,-1.20142471413323,850,29,0.0329920364050057,-0.572063041732311,0,490,0,-0.47303134062037,421,69,0.140816326530612,-0.419504514601272,1397,2.74164319,23.1,0,0,0.00196252196850394,-0.939105790118494,-0.600926171768112,58125,-0.276973176713693,1091,58,0.0504786771105309,-1.12598211743791,548,12,0.0214285714285714,-0.799025127447463,1089,62,0.053866203301477,-0.140344914374288,-0.585581333993338,-0.79597740663156,0.679905522211465
21033920100,"Census Tract 9201","Caldwell County","Pennyrile",1,0,751,111,0.12877030162413,-1.04460018038163,17,59,0.223684210526316,-1.31790318130756,21,841,0.0243619489559165,-0.711172770757395,838,24,0.0278422273781903,0.356770243672567,-0.679226472193504,1592,48,0.0292682926829268,-0.650145602550687,0,862,0,-0.47303134062037,793,69,0.080046403712297,-1.1842016797313,2075,129.9222486,16.7,0,0,0.0626131318554217,-0.783694708832645,-0.77276833293375,51053,0.0239155557433783,1917,413,0.17725321888412,-0.103689154503934,990,37,0.0360272638753651,-0.519379850724145,2229,101,0.0433476394849785,-0.406158723732257,-0.251328043304239,-0.567774282810498,0.908108646032527
21033920200,"Census Tract 9202","Caldwell County","Pennyrile",1,0,1447,547,0.27432296890672,-0.286397951641697,247,246,0.501014198782961,0.410674151568073,233,1761,0.116850551654965,0.501631547064326,1948,46,0.0230692076228686,0.125027266680268,0.187733753417742,3216,212,0.0618436406067678,0.0329214330140083,0,1994,0,-0.47303134062037,1619,375,0.188064192577733,0.175038106963281,5237,0,16.9,0,0,0,-0.944134555068114,-0.302301588927799,44814,0.289363067310074,3903,660,0.144641683103222,-0.366664220892441,2118,85,0.0385837494325919,-0.470409087507137,4065,498,0.10913872452334,1.25644267707976,0.177183108997564,0.0208717578291692,1.49675468667219
21033920300,"Census Tract 9203","Caldwell County","Pennyrile",1,0,1745,562,0.243606415257911,-0.446404359428926,242,147,0.622107969151671,1.16544267814404,196,2111,0.0849588209796272,0.0834348445828975,2307,0,0,-0.99504495707627,-0.048142948444565,3771,118,0.0303419902288506,-0.627631417851819,0,2307,0,-0.47303134062037,1958,349,0.151278716948418,-0.287851224257315,5672,13.88064155,24.4,0,1,0.00244722171191819,-0.937863795827531,-0.581594444639259,39464,0.516986754901325,4655,1039,0.182472778363189,-0.0615993243975292,2130,137,0.0604322893692104,-0.0518893454929793,5388,306,0.053740779768177,-0.143514482744192,0.0649959005666561,-0.188247164172389,1.28763576467064
21035010100,"Census Tract 101","Calloway County","Purchase",1,0,1499,283,0.158810325476992,-0.888117901754467,13,189,0.0643564356435644,-2.31098143400978,77,1705,0.0432098765432099,-0.464019637368174,1780,2,0.00112233445566779,-0.940552593484543,-1.15091789165424,3029,154,0.0483820295318882,-0.249352843605865,0,1782,0,-0.47303134062037,1558,224,0.125701459034792,-0.609702161551153,4106,750.9609392,17,0,0,0.182893555577204,-0.475488233366447,-0.451893644785959,44082,0.320507093350596,3792,523,0.121205098493627,-0.555653707159997,2019,150,0.0691562932226833,0.115223324400654,4182,167,0.0383996320993332,-0.531199434123421,-0.162780680883042,-0.588530739107747,0.887352189735278
21035010200,"Census Tract 102","Calloway County","Purchase",1,0,1441,140,0.0885515496521189,-1.2541047394641,39,88,0.307086614173228,-0.798062159578666,28,1553,0.0177103099304238,-0.798395804680385,1543,38,0.0240354206198608,0.171939512556055,-0.669655797791775,2943,58,0.0193268910363212,-0.858605195000196,13,1568,0.00822264389626818,-0.15126849780266,1423,158,0.0999367488931056,-0.933911900382791,4471,0,14.6,0,0,0,-0.944134555068114,-0.72198003706344,57218,-0.238383516032335,3800,378,0.0904739109621829,-0.803465896551356,2144,81,0.0364044943820225,-0.512153811145111,3966,216,0.0516499282639885,-0.196352228735565,-0.437588863116092,-0.609741565990436,0.866141362852589
